cnt;adr;fei;rssi;rawcm;rssicor;feicor;res;corres
3491;0x66;180947;105;1047;728;-1863;-88;64
3492;0x77;180947;63;10211;215;-1863;8563;7964
3493;0x55;180141;76;11723;198;-1855;10066;10066
3494;0x66;180947;103;923;763;-1863;-177;51
3495;0x77;180947;64;10350;221;-1863;8708;8170
3496;0x55;180141;74;11355;207;-1855;9707;9424
3497;0x66;180947;106;714;743;-1863;-406;70
3498;0x77;180947;63;9485;215;-1863;7837;6914
3499;0x55;180947;76;11585;198;-1863;9920;9627
3500;0x66;181753;105;937;728;-1872;-207;49
3501;0x77;181753;63;9025;215;-1872;7368;6260
3502;0x55;180947;74;11216;207;-1863;9560;9267
3503;0x66;181753;107;989;754;-1872;-129;56
3504;0x77;176111;62;8617;205;-1813;7009;5789
3505;0x55;180947;76;11236;198;-1863;9571;9279
3506;0x66;176111;104;1011;768;-1813;-34;76
3507;0x77;176111;61;8615;230;-1813;7032;5818
3508;0x55;180141;75;11799;228;-1855;10172;10172
3509;0x66;176111;103;754;763;-1813;-296;50
3510;0x77;180947;58;6627;216;-1863;4980;3813
3511;0x55;180141;75;11464;228;-1855;9837;9552
3512;0x66;180947;103;1207;763;-1863;107;125
3513;0x77;180947;59;8658;223;-1863;7018;5801
3514;0x55;180141;74;11391;207;-1855;9743;9461
3515;0x66;176111;101;1005;791;-1813;-17;81
3516;0x77;176111;59;10968;223;-1813;9378;9057
3517;0x55;180947;74;11905;207;-1863;10249;10249
3518;0x66;176111;98;1016;720;-1813;-77;66
3519;0x77;182559;60;12092;214;-1880;10426;10426
3520;0x55;180947;75;11470;228;-1863;9835;9550
3521;0x66;182559;81;1455;310;-1880;-115;59
3522;0x77;182559;59;11342;223;-1880;9685;9401
3523;0x55;180947;75;11400;228;-1863;9765;9482
3524;0x66;175305;98;887;720;-1805;-198;49
3525;0x77;175305;54;9724;214;-1805;8133;7342
3526;0x55;180947;75;11775;228;-1863;10140;10140
3527;0x66;175305;105;872;728;-1805;-205;49
3528;0x55;180947;75;10981;228;-1863;9346;9018
3529;0x66;180947;107;1140;754;-1863;31;96
3530;0x77;180947;51;3855;254;-1863;2246;1924
3531;0x55;180947;76;11398;198;-1863;9733;9450
3532;0x66;174499;106;951;743;-1797;-103;61
3533;0x77;174499;56;7222;232;-1797;5657;4345
3534;0x55;180947;76;11626;198;-1863;9961;9663
3535;0x66;174499;103;851;763;-1797;-183;50
3536;0x77;174499;58;9870;216;-1797;8289;7568
3537;0x55;180141;76;11986;198;-1855;10329;10329
3538;0x66;180947;103;1176;763;-1863;76;113
3539;0x77;180947;57;10853;223;-1863;9213;8852
3540;0x55;180141;76;11795;198;-1855;10138;10138
3541;0x66;180947;101;1038;791;-1863;-34;76
3542;0x77;175305;58;11051;216;-1805;9462;9156
3543;0x55;180141;76;11928;198;-1855;10271;10271
3544;0x66;175305;103;932;763;-1805;-110;60
3545;0x77;175305;57;10715;223;-1805;9133;8750
3546;0x55;180141;76;12119;198;-1855;10462;10462
3547;0x66;175305;102;1316;782;-1805;293;219
3548;0x77;175305;57;11252;223;-1805;9670;9386
3549;0x55;180141;76;11849;198;-1855;10192;10192
3550;0x66;175305;101;951;791;-1805;-63;69
3551;0x77;175305;56;11360;232;-1805;9787;9504
3552;0x55;180141;76;11860;198;-1855;10203;10203
3553;0x66;174499;101;919;791;-1797;-87;64
3554;0x77;174499;57;10673;223;-1797;9099;8705
3555;0x55;180141;76;12072;198;-1855;10415;10415
3556;0x66;174499;107;759;754;-1797;-284;50
3557;0x77;181753;56;10301;232;-1872;8661;8104
3558;0x55;180141;76;11292;198;-1855;9635;9349
3559;0x66;181753;106;1047;743;-1872;-82;65
3560;0x77;181753;56;10636;232;-1872;8996;8568
3561;0x55;180141;76;11094;198;-1855;9437;9127
3562;0x66;176917;104;962;768;-1822;-92;63
3563;0x77;176917;58;11369;216;-1822;9763;9480
3564;0x55;180141;75;11464;228;-1855;9837;9552
3565;0x66;176917;106;781;743;-1822;-298;51
3566;0x77;176917;59;10366;223;-1822;8767;8253
3567;0x55;180141;76;11168;198;-1855;9511;9212
3568;0x66;181753;107;1122;754;-1872;4;87
3569;0x77;181753;57;10098;223;-1872;8449;7800
3570;0x55;180141;76;11423;198;-1855;9766;9483
3571;0x66;176111;110;820;809;-1813;-184;50
3572;0x77;176111;57;11060;223;-1813;9470;9165
3573;0x55;180141;77;11858;209;-1855;10212;10212
3574;0x66;176111;108;883;759;-1813;-171;51
3575;0x77;176111;58;10310;216;-1813;8713;8177
3576;0x55;180947;76;12025;198;-1863;10360;10360
3577;0x66;176111;104;1160;768;-1813;115;129
3578;0x77;176111;54;10283;214;-1813;8684;8136
3579;0x55;180947;76;11569;198;-1863;9904;9613
3580;0x66;176111;108;912;759;-1813;-142;55
3581;0x77;176917;54;9404;214;-1822;7796;6856
3582;0x55;180947;74;11705;207;-1863;10049;10049
3583;0x66;176917;108;741;759;-1822;-322;53
3584;0x77;176917;57;10035;223;-1822;8436;7781
3585;0x55;180947;75;12439;228;-1863;10804;10804
3586;0x66;181753;107;996;754;-1872;-122;58
3587;0x77;181753;58;8944;216;-1872;7288;6152
3588;0x55;180947;75;11896;228;-1863;10261;10261
3589;0x66;181753;108;791;759;-1872;-322;53
3590;0x77;176917;61;9927;230;-1822;8335;7635
3591;0x55;180947;74;11804;207;-1863;10148;10148
3592;0x66;176917;107;802;754;-1822;-266;49
3593;0x77;176917;60;10380;214;-1822;8772;8260
3594;0x55;180141;75;11889;228;-1855;10262;10262
3595;0x66;176917;108;811;759;-1822;-252;48
3596;0x77;180947;62;10247;205;-1863;8589;8001
3597;0x55;180141;75;11725;228;-1855;10098;10098
3598;0x66;180947;107;989;754;-1863;-120;58
3599;0x77;180947;60;10283;214;-1863;8634;8065
3600;0x55;180141;76;11802;198;-1855;10145;10145
3601;0x66;175305;108;736;759;-1805;-310;52
3602;0x77;175305;61;10715;230;-1805;9140;8759
3603;0x55;179335;75;12083;228;-1847;10464;10464
3604;0x66;175305;108;921;759;-1805;-125;57
3605;0x77;175305;61;10542;230;-1805;8967;8529
3606;0x55;179335;75;11662;228;-1847;10043;10043
3607;0x66;175305;109;1045;743;-1805;-17;81
3608;0x77;175305;62;10350;205;-1805;8750;8229
3609;0x55;179335;75;11851;228;-1847;10232;10232
3610;0x66;175305;109;845;743;-1805;-217;48
3611;0x77;175305;61;10760;230;-1805;9185;8817
3612;0x55;179335;75;11889;228;-1847;10270;10270
3613;0x66;175305;109;811;743;-1805;-251;48
3614;0x77;175305;60;10132;214;-1805;8541;7932
3615;0x55;179335;76;12031;198;-1847;10382;10382
3616;0x66;181753;109;1126;743;-1872;-3;85
3617;0x77;181753;60;10188;214;-1872;8530;7917
3618;0x55;179335;75;11757;228;-1847;10138;10138
3619;0x66;181753;109;836;743;-1872;-293;50
